prefecture,sample_size,smoking_rate,ci_lower,ci_upper
北海道,212.0,35.91799170916215,29.210161125130803,42.62582229319349
青森県,328.0,33.576977414413626,25.63950423722658,41.51445059160066
岩手県,217.0,30.94807190584818,24.33807136713236,37.55807244456401
宮城県,258.0,31.101723845437224,26.47471867739008,35.728729013484354
秋田県,257.0,32.723148807716406,27.045780136741097,38.4005174786917
山形県,279.0,32.83084197313761,25.752782424724263,39.908901521550966
福島県,265.0,35.22540561447349,26.879852535627872,43.57095869331913
茨城県,261.0,33.55418063191016,23.86525227797762,43.2431089858427
栃木県,452.0,35.28250307319454,31.8090410789987,38.755965067390406
群馬県,271.0,37.31274123197641,31.403902159245032,43.22158030470778
埼玉県,312.0,28.203081755995193,23.70134004666889,32.70482346532146
千葉県,366.0,31.08233225331313,24.78181376520188,37.38285074142437
東京都,221.0,29.194067206288697,20.794331667997277,37.593802744580096
神奈川県,138.0,26.768754236441126,20.267510318196297,33.26999815468594
新潟県,331.0,29.931923698500057,24.81766225735998,35.04618513964013
富山県,232.0,27.21928611050259,20.883716986865952,33.55485523413921
石川県,268.0,29.09238908465676,24.88403429539261,33.30074387392095
福井県,264.0,36.57174014956155,28.83185507176705,44.311625227356046
山梨県,216.0,34.74414557117593,28.294033021545314,41.19425812080651
長野県,340.0,29.964580692513717,26.92778786132712,33.00137352370033
岐阜県,395.0,27.303636566951088,21.94937257577722,32.65790055812493
静岡県,271.0,28.640881864953712,22.527582819161758,34.754180910745696
愛知県,224.0,27.510741712892017,24.69546489734756,30.32601852843647
三重県,247.0,35.09993404645261,30.7580366134186,39.44183147948661
滋賀県,218.0,20.647598495399777,16.48074937546188,24.814447615337674
京都府,170.0,30.59532957283776,26.10409911266484,35.0865600330107
大阪府,158.0,29.346808488293096,25.133477003410807,33.56013997317539
兵庫県,300.0,25.777258863343473,20.43121789373347,31.12329983295346
奈良県,230.0,21.980079428614403,18.177106179818846,25.783052677409955
和歌山県,235.0,29.740190336316505,24.07090661054701,35.409474062086
鳥取県,273.0,32.671610570389845,29.12996663539022,36.21325450538947
島根県,317.0,28.47878286471332,22.454781270389056,34.50278445903757
岡山県,230.0,27.90952201166926,19.479126303235663,36.339917720102875
広島県,175.0,31.674439443349407,23.100867333768903,40.24801155292993
山口県,282.0,29.459563162591447,25.839129289380377,33.07999703580254
徳島県,337.0,26.318501210753222,23.087720978061675,29.54928144344478
香川県,324.0,26.54693218327914,22.979831850037456,30.114032516520822
愛媛県,272.0,29.947640453734554,24.581107639599367,35.31417326786972
高知県,162.0,28.898194692691405,20.65238271131768,37.14400667406514
福岡県,147.0,26.633286472378042,17.85792408325085,35.40864886150524
佐賀県,206.0,33.21039808789628,26.39503605752116,40.0257601182714
長崎県,215.0,35.34869974239436,29.045263790728672,41.65213569406003
熊本県,,,,
大分県,254.0,25.314832634158225,19.979144553459875,30.65052071485657
宮崎県,235.0,28.08726989141464,22.043704325311165,34.1308354575181
鹿児島県,209.0,28.584832413541086,25.344903066448275,31.82476176063391
沖縄県,243.0,27.164921645222503,23.628572697472126,30.70127059297289
